,user_location,user_description,date,text,hashtags,source
53,"Rio de Janeiro, Brasil","Profissional de Educação Física.Deus é maravilhoso , Rubro negra ❤️🖤, Rafael Nadal e PATRIOTA",2023-01-09 13:18:56+00:00,"RT @areamilitarof: URGENTE!! Lula se pronuncia e diz que todos os envolvidos serão identificados e pagarão o preço, e ainda os chamou de Na…",,Twitter for Android
54,Brasil,Humor,2023-01-09 13:18:53+00:00,RT @juliadecastrobr: Lula declara intervenção e o interventor responsável é um COMUNISTA de primeira e ele vai poder fazer usa de todas as…,,Twitter for iPhone
55,,miguel.almeida,2023-01-09 13:18:45+00:00,RT @eu_conegundes: @WillLisil @FoxNews 🇧🇷BRASIL: TERRORISTAS de esquerda comandados por Lula estão sendo presos. Confira a diferença entre…,,Twitter for Android
56,,,2023-01-09 13:18:44+00:00,"RT @areamilitarof: O interventor para a segurança no Distrito Federal  nomeado por Flavio Dino, Ricardo Capelli, foi do PCdoB e presidente…",,Twitter for Android
57,Guarulhos - SP,"escritoras, irmãs, discípulas de Octavia E. Butler • criadoras do #LeiaRepresentatividade • membras do @cladaspretas e do @decoloniais•  aroaces 💚💜 (ela/s)",2023-01-09 13:18:42+00:00,"RT @amaepreta: Falam que o Lula é o grande ladrão do Brasil, mas na primeira oportunidade saquearam o Planalto, o STF e o Congresso. 

Cês…",,Twitter for Android
58,"England, United Kingdom","My body is a garden, not a graveyard, love cycling, walking, nature, animals, reading, know new cultures and people. Proud Cat Dad🐈.",2023-01-09 13:18:36+00:00,RT @caioblinder: Cobertura avassaladora no exterior sobre terror bolsonarista e inevitáveis comparações com trumpismo. 3 pontos a destacar:…,,Twitter for Android
59,,"Homens que são amantes de si mesmo, nao merecem usar 'fardas""",2023-01-09 13:18:30+00:00,"RT @Amaro_Coronel: Lula demonstra toda sua truculência e nomeia um comunista como interventor em Brasília. Cappelli, filiado ao PCdoB, pres…",,Twitter Web App
60,,"Tradicionalista, Nacionalista, anti-trabalhista e Católico
Ora pro nobis
conhecido anteriormente como @CharlesSmith001",2023-01-09 13:18:28+00:00,"RT @bronzpodcast: Segundo os áudios que estou a receber, os manifestantes no brasil são massa de manobra para produzir um efeito qualquer,…",,Twitter for Android
61,"Ceará, Brasil","Conservador, Cristão, Lutando por uma Psicologia Livre. Não sou Robô! Sou de carne e osso!!!",2023-01-09 13:18:27+00:00,"RT @phvoxcanal: 🇷🇺🇧🇷 Vladimir Putin, através do porta-voz do Kremlin oferece total apoio à Lula:

""Condenamos nos termos mais fortes as açõ…",,Twitter for Android
62,,educadora popular no nica Jacarezinho | cientista política | mestranda CPDA/UFRRJ,2023-01-09 13:18:26+00:00,"RT @safbf: Lula tem nas mãos a oportunidade de refundar o Brasil dos últimos anos. Não vai tornar nosso país um paraíso, mas é possível des…",,Twitter for iPhone
