Level,Date and Time,Source,Event ID,Task,Category
Information,12/29/2022 4:13:10 PM,Microsoft-Windows-Kernel-General,20,(6),"The leap second configuration has been updated.
Reason: Leap second data initialized from registry during boot
Leap seconds enabled: true
New leap second count: 0
Old leap second count: 0"
Information,12/29/2022 4:13:10 PM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,12/29/2022 4:13:10 PM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,12/29/2022 4:13:10 PM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,12/29/2022 4:13:10 PM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x0.
Information,12/29/2022 4:13:10 PM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,12/29/2022 4:13:10 PM,Microsoft-Windows-Kernel-Boot,238,(101),EFI time zone bias: 2047. Daylight flags: 0. Firmware time: ‎2022‎-‎12‎-‎29T16:13:08.000000000Z.
Information,12/29/2022 4:13:10 PM,Microsoft-Windows-Kernel-Boot,20,(31),The last shutdown's success status was true. The last boot's success status was true.
Information,12/29/2022 4:13:10 PM,Microsoft-Windows-Kernel-Boot,153,(62),Virtualization-based security (policies: 0) is disabled.
Information,12/29/2022 4:13:10 PM,Microsoft-Windows-Kernel-General,12,(1),The operating system started at system time ‎2022‎-‎12‎-‎29T19:13:09.500000000Z.
Information,12/29/2022 4:12:57 PM,Microsoft-Windows-Kernel-General,13,(2),The operating system is shutting down at system time ‎2022‎-‎12‎-‎29T19:12:57.788014800Z.
Information,12/29/2022 4:12:57 PM,Microsoft-Windows-Kernel-Power,577,(280),The system has prepared for a system initiated reboot from Active.
Information,12/29/2022 4:12:56 PM,Microsoft-Windows-Kernel-Power,109,(103),"The kernel power manager has initiated a shutdown transition.

Action: Power Action Reboot 
Event Code: 0x0 
Reason: Kernel API"
Information,12/29/2022 4:12:52 PM,Microsoft-Windows-WLAN-AutoConfig,4001,None,"WLAN AutoConfig service has successfully stopped.
"
Warning,12/29/2022 4:12:52 PM,Microsoft-Windows-WLAN-AutoConfig,10002,None,"WLAN Extensibility Module has stopped.

Module Path: C:\WINDOWS\system32\IntelIHVRouter08.dll
"
Information,12/29/2022 4:13:16 PM,EventLog,6013,None,The system uptime is 7 seconds.
Information,12/29/2022 4:13:16 PM,EventLog,6005,None,The Event log service was started.
Information,12/29/2022 4:13:16 PM,EventLog,6009,None,Microsoft (R) Windows (R) 10.00. 22621  Multiprocessor Free.
Information,12/29/2022 4:12:51 PM,Microsoft-Windows-Dhcp-Client,50037,Service State Event,DHCPv4 client service is stopped. ShutDown Flag value is 1
Information,12/29/2022 4:12:51 PM,Microsoft-Windows-DHCPv6-Client,51057,Service State Event,DHCPv6 client service stop is almost done.DHCP Context Ref count is 1
Information,12/29/2022 4:12:51 PM,Microsoft-Windows-DHCPv6-Client,51047,Service State Event,DHCPv6 client service is stopped. ShutDown Flag value is 1
Information,12/29/2022 4:12:51 PM,Microsoft-Windows-Dhcp-Client,50106,Service State Event,DHCPv4 is waiting on DHCPv6 service to stop
Information,12/29/2022 4:12:51 PM,Microsoft-Windows-Dhcp-Client,50105,Service State Event,DHCPv4 client ProcessDHCPRequestForever received TERMINATE_EVENT
Information,12/29/2022 4:12:51 PM,Microsoft-Windows-Dhcp-Client,50104,Service State Event,DHCPv4 client received shutdown notification
Information,12/29/2022 4:12:51 PM,EventLog,6006,None,The Event log service was stopped.
Information,12/29/2022 4:12:45 PM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Warning,12/29/2022 4:12:35 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,12/29/2022 4:12:35 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,12/29/2022 4:12:34 PM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,12/29/2022 4:12:27 PM,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,12/29/2022 4:12:25 PM,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,12/29/2022 4:12:25 PM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,12/29/2022 3:07:30 PM,Microsoft-Windows-HttpService,117,HTTP Configuration Property Trace Task,"Delete URL group 0xFF00000720000003. Status 0x0. Process Id 0x16E0 Executable path \Device\HarddiskVolume3\Program Files\Git\mingw64\bin\git-credential-manager.exe, User Saezo\OzeasSantos"
Information,12/29/2022 3:07:30 PM,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://localhost:62845/) from URL group (0xFF00000720000003). Process Id 0x16E0 Executable path \Device\HarddiskVolume3\Program Files\Git\mingw64\bin\git-credential-manager.exe, User Saezo\OzeasSantos"
Information,12/29/2022 3:07:30 PM,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://localhost:62845/) to URL group (0xFF00000720000003). Status: 0x0. Process Id 0x16E0 Executable path \Device\HarddiskVolume3\Program Files\Git\mingw64\bin\git-credential-manager.exe, User Saezo\OzeasSantos"
